,reporttime,name,code,SW3,type,value(M)
4,20200131,申达股份,600626,车身附件及饰件,销售额,40
5,20200229,申达股份,600626,车身附件及饰件,销售额,23
6,20200331,申达股份,600626,车身附件及饰件,销售额,37
7,20200430,申达股份,600626,车身附件及饰件,销售额,29
8,20200531,申达股份,600626,车身附件及饰件,销售额,37
9,20200630,申达股份,600626,车身附件及饰件,销售额,35
10,20200731,申达股份,600626,车身附件及饰件,销售额,27
11,20200831,申达股份,600626,车身附件及饰件,销售额,25
12,20200930,申达股份,600626,车身附件及饰件,销售额,30
13,20201031,申达股份,600626,车身附件及饰件,销售额,53
14,20201130,申达股份,600626,车身附件及饰件,销售额,126
15,20201231,申达股份,600626,车身附件及饰件,销售额,104
16,20210131,申达股份,600626,车身附件及饰件,销售额,49
17,20210228,申达股份,600626,车身附件及饰件,销售额,23
18,20210331,申达股份,600626,车身附件及饰件,销售额,36
19,20210430,申达股份,600626,车身附件及饰件,销售额,22
20,20210531,申达股份,600626,车身附件及饰件,销售额,30
21,20210630,申达股份,600626,车身附件及饰件,销售额,34
22,20210731,申达股份,600626,车身附件及饰件,销售额,22
23,20210831,申达股份,600626,车身附件及饰件,销售额,22
24,20210930,申达股份,600626,车身附件及饰件,销售额,27
25,20211031,申达股份,600626,车身附件及饰件,销售额,57
26,20211130,申达股份,600626,车身附件及饰件,销售额,137
27,20211231,申达股份,600626,车身附件及饰件,销售额,72
28,20220131,申达股份,600626,车身附件及饰件,销售额,58
29,20220228,申达股份,600626,车身附件及饰件,销售额,32
30,20220331,申达股份,600626,车身附件及饰件,销售额,24
31,20220430,申达股份,600626,车身附件及饰件,销售额,16
32,20220531,申达股份,600626,车身附件及饰件,销售额,17
33,20220630,申达股份,600626,车身附件及饰件,销售额,36
34,20220731,申达股份,600626,车身附件及饰件,销售额,22
35,20220831,申达股份,600626,车身附件及饰件,销售额,22
36,20220930,申达股份,600626,车身附件及饰件,销售额,28
37,20221031,申达股份,600626,车身附件及饰件,销售额,52
38,20221130,申达股份,600626,车身附件及饰件,销售额,111
